customer_id,customer_age,annual_income,days_since_signup,customer_segment,product_category,purchase_amount
44,54.0,67472.41,519.0,Silver,Sports,21.57
45,18.0,38036.95,30.0,Bronze,Sports,20.0
46,30.0,57003.89,630.0,Silver,Electronics,124.9
47,32.0,63484.03,545.0,Silver,Sports,73.69
48,48.0,101428.06,235.0,Gold,Electronics,177.05
49,75.0,83590.46,499.0,Gold,Sports,90.83
50,29.0,30924.0,102.0,Bronze,Home,47.54
51,30.0,83102.1,406.0,Gold,Clothing,53.61
52,53.0,65372.94,831.0,Silver,Electronics,94.32
53,68.0,58076.95,321.0,Silver,Sports,68.6
54,68.0,90291.91,766.0,Gold,Home,79.0
55,35.0,100774.99,291.0,Gold,Clothing,96.9
56,49.0,98282.0,284.0,Gold,Electronics,125.83
57,53.0,54019.56,510.0,Silver,Clothing,76.25
58,30.0,67269.69,117.0,Silver,Home,94.9
59,55.0,83281.59,387.0,Gold,Electronics,157.59
60,68.0,99388.63,259.0,Gold,Clothing,112.97
61,25.0,63020.64,989.0,Silver,Sports,118.03
62,41.0,70358.53,494.0,Silver,Electronics,157.08
63,18.0,47341.63,155.0,Bronze,Clothing,20.0
64,18.0,45094.83,429.0,Bronze,Home,20.0
65,51.0,95313.15,498.0,Gold,Home,95.63
66,43.0,108906.0,424.0,Gold,Electronics,196.81
67,68.0,73199.75,802.0,Silver,Clothing,77.02
68,36.0,100088.32,682.0,Gold,Electronics,158.39
69,42.0,84040.9,330.0,Gold,Electronics,156.88
70,38.0,58872.01,296.0,Silver,Clothing,26.79
71,71.0,84034.89,548.0,Gold,Clothing,52.24
72,42.0,113450.91,30.0,Gold,Sports,80.33
73,61.0,74104.35,130.0,Silver,Clothing,34.55
74,64.0,114116.09,1008.0,Gold,Home,96.39
75,18.0,30000.0,858.0,Bronze,Electronics,24.72
76,62.0,95547.56,511.0,Gold,Electronics,203.59
77,49.0,77176.18,693.0,Silver,Home,64.13
78,32.0,67524.82,529.0,Silver,Clothing,135.69
79,47.0,77294.02,1434.0,Silver,Home,107.55
80,18.0,30000.0,700.0,Bronze,Home,41.55
81,43.0,69508.2,456.0,Silver,Sports,49.32
82,59.0,83927.81,285.0,Gold,Home,121.72
83,80.0,111947.35,,Gold,Electronics,184.24
84,19.0,62043.24,435.0,Silver,Home,78.11
85,66.0,54787.66,382.0,Silver,Electronics,175.42
86,18.0,62456.07,30.0,Silver,Electronics,109.54
87,54.0,97885.05,351.0,Gold,Electronics,210.67
88,57.0,83218.78,240.0,Gold,Clothing,48.81
89,42.0,61755.99,994.0,Silver,Sports,65.65
90,42.0,87831.69,749.0,Gold,Electronics,211.22
91,43.0,77426.94,488.0,Silver,Electronics,120.56
92,49.0,99216.12,967.0,Gold,Clothing,137.72
93,27.0,57448.67,435.0,Silver,Electronics,124.64
94,53.0,66808.45,284.0,Silver,Home,63.3
95,45.0,65197.3,959.0,Silver,Home,97.21
96,18.0,38412.13,526.0,Bronze,Sports,70.66
97,62.0,82403.01,274.0,Gold,Electronics,166.98
98,52.0,81526.38,482.0,Gold,Clothing,21.38
99,57.0,75127.84,298.0,Silver,Home,68.34
100,51.0,69135.32,117.0,Silver,Clothing,50.65
101,18.0,39615.73,642.0,Bronze,Clothing,31.04
102,31.0,64483.87,1004.0,Silver,Home,96.0
103,51.0,66432.14,115.0,Silver,Clothing,61.13
104,44.0,54943.07,664.0,Silver,Home,25.87
105,42.0,70967.86,293.0,Silver,Clothing,71.02
106,51.0,85101.27,387.0,Gold,Home,120.44
107,80.0,122154.65,497.0,Gold,Electronics,236.67
108,38.0,79364.45,207.0,Silver,Sports,118.14
109,56.0,81438.76,571.0,Gold,Home,122.74
110,41.0,73138.85,230.0,Silver,Home,101.54
111,19.0,30000.0,452.0,Bronze,Sports,30.3
112,61.0,74337.15,565.0,Silver,Home,39.38
113,58.0,76505.76,493.0,Silver,Home,104.7
114,80.0,136581.05,402.0,Gold,Clothing,120.96
115,62.0,70190.98,412.0,Silver,Sports,83.95
116,49.0,82538.68,747.0,Gold,Electronics,110.27
117,54.0,74132.21,,Silver,Home,56.53
118,25.0,45783.05,110.0,Bronze,Sports,81.04
119,,103570.57,625.0,Gold,Clothing,85.81
120,52.0,93798.33,762.0,Gold,Electronics,189.28
121,56.0,94775.8,86.0,Gold,Sports,103.21
122,42.0,52265.31,650.0,Silver,Electronics,94.97
123,50.0,110069.86,327.0,Gold,Electronics,226.27
124,58.0,39953.72,740.0,Bronze,Electronics,56.44
125,37.0,89671.43,232.0,Gold,Home,110.49
126,54.0,129761.39,75.0,Gold,Home,141.85
127,49.0,50236.59,54.0,Silver,Clothing,29.16
128,49.0,60842.56,538.0,Silver,Clothing,41.83
129,,77491.28,630.0,Silver,Sports,90.35
130,48.0,62413.11,244.0,Silver,Clothing,38.06
131,25.0,36233.41,593.0,Bronze,Electronics,102.89
132,32.0,76714.07,30.0,Silver,Electronics,111.25
133,32.0,48442.41,419.0,Bronze,Home,52.52
134,40.0,86839.81,,Gold,Electronics,143.12
135,48.0,52014.39,320.0,Silver,Sports,99.58
136,62.0,113748.36,600.0,Gold,Electronics,210.64
137,22.0,55418.67,131.0,Silver,Electronics,649.1883234118507
138,36.0,66948.46,340.0,Silver,Sports,27.74
139,61.0,95337.93,883.0,Gold,Clothing,88.1
140,21.0,44228.39,207.0,Bronze,Clothing,63.84
141,35.0,80686.5,703.0,Gold,Sports,89.61
142,,107678.57,261.0,Gold,Home,161.18
143,28.0,34812.92,576.0,Bronze,Electronics,47.14
144,39.0,79615.85,905.0,Silver,Sports,128.27
145,41.0,81497.07,30.0,Gold,Electronics,215.66
146,58.0,94545.57,327.0,Gold,Home,102.57
147,18.0,44076.23,538.0,Bronze,Electronics,65.97
148,18.0,41988.58,304.0,Bronze,Sports,88.95
149,40.0,88048.54,590.0,Gold,Electronics,205.87
150,45.0,82424.62,321.0,Gold,Clothing,53.55
151,52.0,81262.32,564.0,Gold,Home,84.91
152,71.0,83661.21,585.0,Gold,Home,91.94
153,49.0,57999.38,872.0,Silver,Home,29.27
154,45.0,80806.34,578.0,Gold,Sports,59.71
155,48.0,82326.81,618.0,Gold,Home,68.67
156,21.0,57141.21,256.0,Silver,Clothing,24.96
157,68.0,121644.36,468.0,Gold,Sports,130.34
158,46.0,86845.82,378.0,Gold,Clothing,79.98
159,34.0,45217.41,568.0,Bronze,Electronics,127.91
160,40.0,91413.84,352.0,Gold,Electronics,134.59
161,40.0,50632.96,564.0,Silver,Electronics,120.67
162,77.0,94677.12,1286.0,Gold,Electronics,164.0
163,57.0,103964.89,825.0,Gold,Clothing,85.85
164,40.0,54482.94,381.0,Silver,Sports,79.09
165,67.0,99084.4,972.0,Gold,Sports,73.33
166,44.0,85319.52,373.0,Gold,Home,113.86
167,58.0,95551.5,98.0,Gold,Clothing,85.26
168,68.0,122419.82,317.0,Gold,Electronics,235.13
169,43.0,68865.3,30.0,Silver,Clothing,692.4523649710586
170,23.0,56156.6,289.0,Silver,Home,141.05
171,34.0,52762.14,451.0,Silver,Home,44.18
172,42.0,54604.74,989.0,Silver,Clothing,29.94
173,65.0,73072.46,702.0,Silver,Clothing,42.69
174,63.0,83528.8,527.0,Gold,Clothing,53.5
175,80.0,81917.27,923.0,Gold,Sports,69.35
176,43.0,95679.58,30.0,Gold,Electronics,207.89
177,58.0,75325.05,636.0,Silver,Clothing,105.89
178,65.0,111338.35,835.0,Gold,Clothing,76.4
179,74.0,68383.58,204.0,Silver,Clothing,32.47
180,66.0,143004.23,952.0,Gold,Home,185.75
181,40.0,90641.68,577.0,Gold,Home,92.2
182,25.0,53571.06,276.0,Silver,Sports,76.84
183,18.0,48227.69,554.0,Bronze,Electronics,92.9
184,43.0,87061.81,1171.0,Gold,Sports,48.55
185,30.0,69413.43,483.0,Silver,Electronics,171.37
186,56.0,92850.01,630.0,Gold,Home,165.3
187,56.0,86830.94,417.0,Gold,Home,85.81
188,72.0,73179.28,381.0,Silver,Home,76.18
189,48.0,53830.16,767.0,Silver,Sports,66.71
190,18.0,37128.82,108.0,Bronze,Clothing,41.22
191,25.0,63837.13,426.0,Silver,Clothing,73.38
192,63.0,96409.97,447.0,Gold,Home,176.0
193,27.0,80352.34,558.0,Gold,Clothing,62.19
194,56.0,43856.53,659.0,Bronze,Clothing,20.0
195,64.0,79329.52,910.0,Silver,Sports,44.3
196,42.0,84632.93,335.0,Gold,Electronics,130.41
197,18.0,52903.56,284.0,Silver,Home,62.49
198,67.0,78843.13,317.0,Silver,Home,856.0011867347655
199,44.0,76455.22,361.0,Silver,Sports,67.04
200,49.0,46425.74,634.0,Bronze,Sports,56.85
